City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
80,Hithadhoo,MV,81.63,few clouds,-0.6,73.0833,Scoop Guest House
84,Butaritari,KI,81.27,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
85,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
87,Lorengau,PG,82.29,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
89,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
92,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
94,Jaque,PA,76.03,light rain,7.5175,-78.1703,Aventuras Jaque S.A
100,Hilo,US,75.25,thunderstorm,19.7297,-155.09,Hilo Hawaiian Hotel
103,Kapaa,US,80.92,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
104,Paine,CL,81.9,few clouds,-33.8167,-70.75,Hotel El Almendro
106,Sumbe,AO,77.9,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
